"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL3916717";"SELONSERTIB";"GS-4997|SELONSERTIB";"Small molecule";"2";"445.50";"11";"64";"4.68";"90.52";"7";"1";"0";"6";"N";"0.47";"13.86";"5.75";"4.10";"4.09";"4";"MOL";"0";"33";"8";"1";"0";"445.2026";"NEUTRAL";"C24H24FN7O";"Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)cc1-n1cnc(C2CC2)c1";"YIDDLAAKOYYGJG-UHFFFAOYSA-N"
"CHEMBL1398126";"AMILORIDE HYDROCHLORIDE";"AMILAMONT|AMILORIDE HCL|AMILORIDE HYDROCHLORIDE|AMILORIDE HYDROCHLORIDE DIHYDRATE|AMILORIDI HYDROCHLORIDUM|AMILOSPARE 5|AMIPRAMIDINE|AMORIDE|BERKAMIL|Midamor|NSC-755847";"Small molecule";"4";"302.12";"33";"70";"-1.08";"156.79";"6";"5";"0";"1";"N";"0.30";"11.43";"7.35";"-0.50";"-0.77";"1";"MOL";"0";"15";"8";"8";"1";"229.0479";"NEUTRAL";"C6H13Cl2N7O3";"Cl.N=C(N)NC(=O)c1nc(Cl)c(N)nc1N.O.O";"LTKVFMLMEYCWMK-UHFFFAOYSA-N"
"CHEMBL595";"PIOGLITAZONE";"AD-4833|Actos|Duetact|GLUSTIN|PIOGLITAZONE|U-72107|ZACTOS";"Small molecule";"4";"356.45";"214";"1365";"3.16";"68.29";"5";"1";"0";"7";"N";"0.83";"6.66";"5.60";"3.33";"2.74";"2";"MOL";"0";"25";"5";"1";"0";"356.1195";"NEUTRAL";"C19H20N2O3S";"CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1";"HYAFETHFCAUJAY-UHFFFAOYSA-N"
"CHEMBL1201496";"INSULIN ASPART";"B28-ASP-INSULIN|FIASP|FIASP FLEXTOUCH|FIASP PENFILL|INA-X14|INS NOVORAPID|INSULIN ASPART|INSULIN ASPART RECOMBINANT|INSULIN X14|NOVOLOG|NOVOLOG FLEXPEN|NOVOLOG FLEXTOUCH|NOVOLOG INNOLET|NOVOLOG PENFILL";"Protein";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";""
"CHEMBL2393130";"APABETALONE";"APABETALONE|RVX-000222|RVX-208|RVX000222";"Small molecule";"3";"370.41";"40";"222";"2.60";"93.67";"6";"2";"0";"6";"N";"0.69";"7.89";"2.78";"2.49";"2.39";"3";"MOL";"0";"27";"7";"2";"0";"370.1529";"NEUTRAL";"C20H22N2O5";"COc1cc(OC)c2c(=O)[nH]c(-c3cc(C)c(OCCO)c(C)c3)nc2c1";"NETXMUIMUZJUTB-UHFFFAOYSA-N"
"CHEMBL1272";"REPAGLINIDE";"A10BX02|AG-EE 623 ZW|AG-EE-623-ZW|AG-EE-623ZW|AGEE-623ZW|ENYGLID|NOVONORM|NSC-759893|Prandin|REPAGLINIDE";"Small molecule";"4";"452.60";"52";"332";"5.22";"78.87";"4";"2";"1";"10";"N";"0.52";"3.68";"4.82";"3.95";"1.95";"2";"MOL";"0";"33";"6";"2";"1";"452.2675";"ACID";"C27H36N2O4";"CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O";"FAEKWTJYAYMJKF-QHCPKHFHSA-N"
"CHEMBL1472989";"BISOPROLOL FUMARATE";"BIPRANIX|BISOPROLOL FUMARATE|BISOPROLOL HEMIFUMARATE|CARDICOR|CL 297,939|CL-297939|CONCOR|CONGESCOR|DETENSIEL|EMCONCOR|EMCOR|EMCOR LS|EMD-33-512|EMD-33512|EURADAL|ISOTEN|ISOTEN MITIS|MONOCOR|SOLOC|SOPROL|SPERIDOL|VIVACOR|Zebeta";"Small molecule";"4";"766.97";"19";"29";"2.37";"59.95";"5";"2";"0";"12";"N";"0.58";"None";"9.67";"2.20";"-0.03";"1";"MOL";"0";"23";"5";"2";"0";"325.2253";"BASE";"C40H66N2O12";"CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1.CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1.O=C(O)/C=C/C(=O)O";"VMDFASMUILANOL-WXXKFALUSA-N"
"CHEMBL1200987";"EPROSARTAN MESYLATE";"EPROSARTAN MESILATE|EPROSARTAN MESYLATE|EPROSARTAN MONOMETHANESULFONATE|SK&F 108566-J|SK&F-108566-J|Teveten";"Small molecule";"4";"520.63";"3";"15";"4.74";"92.42";"5";"2";"0";"10";"N";"0.46";"3.47";"6.67";"3.75";"0.06";"3";"MOL";"0";"30";"6";"2";"0";"424.1457";"ACID";"C24H28N2O7S2";"CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1.CS(=O)(=O)O";"DJSLTDBPKHORNY-XMMWENQYSA-N"
"CHEMBL1014";"CANDESARTAN CILEXETIL";"AMIAS|Atacand|CANDESARTAN|CANDESARTAN 1-(((CYCLOHEXYLOXY)CARBONYL)OXY)ETHYL ESTER|CANDESARTAN CILEXETIL|NSC-758697|RATACAND|TCV-116";"Small molecule";"4";"610.67";"58";"161";"6.32";"143.34";"11";"1";"3";"10";"N";"0.14";"5.85";"1.45";"8.17";"6.90";"5";"MOL";"0";"45";"12";"1";"3";"610.2540";"ACID";"C33H34N6O6";"CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1";"GHOSNRCGJFBJIB-UHFFFAOYSA-N"
"CHEMBL1963683";"TAFLUPROST";"AFP-168|MK-2452|SAFLUTAN|TAFLUPROST|ZIOPTAN";"Small molecule";"4";"452.54";"1";"1";"4.68";"75.99";"5";"2";"0";"12";"N";"0.27";"None";"None";"4.29";"4.29";"1";"MOL";"0";"32";"5";"2";"0";"452.2374";"NEUTRAL";"C25H34F2O5";"CC(C)OC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C/C(F)(F)COc1ccccc1";"WSNODXPBBALQOF-VEJSHDCNSA-N"
